organizations,course_title
"['University of California, Santa Cruz']",Bayesian Statistics: From Concept to Data Analysis
['University of Illinois at Urbana-Champaign'],Unordered Data Structures
['IBM'],Building Deep Learning Models with TensorFlow
['University of Michigan'],Introduction to HTML5
['University of Michigan'],Introduction to Thermodynamics: Transferring Energy from Here to There
['Duke University'],"Spark, Hadoop, and Snowflake for Data Engineering"
['University of Michigan'],Introduction to Structured Query Language (SQL)
['University of Colorado System'],C++ Programming for Unreal Game Development Specialization
['University of Minnesota'],User Interface Design Specialization
['IBM'],Application Development using Microservices and Serverless
['IBM'],Fundamentals of Scalable Data Science
['The State University of New York'],Practical Time Series Analysis
['DeepLearning.AI'],AI and Climate Change
['Johns Hopkins University'],Precalculus through Data and Modelling Specialization
['SAP'],Understanding the Enterprise Systems Environment
['The University of Hong Kong'],Implant Dentistry
['EDHEC Business School'],Introduction to Portfolio Construction and Analysis with Python
['MathWorks'],Computer Vision for Engineering and Science Specialization
['LearnQuest'],Machine Learning for Supply Chains Specialization
['Imperial College London'],TensorFlow 2 for Deep Learning Specialization
['University of Colorado Boulder'],Statistical Modeling for Data Science Applications Specialization
['Stanford University'],Probabilistic Graphical Models 1: Representation
['DeepLearning.AI'],AI for Medical Prognosis
['University of Alberta'],Introduction to Software Product Management
['Vanderbilt University'],Android App Development Specialization
['Erasmus University Rotterdam'],Earth Economics
['DeepLearning.AI'],Custom and Distributed Training with TensorFlow
['Johns Hopkins University'],Tidyverse Skills for Data Science in R Specialization
['Meta'],Front-End Developer Capstone
['University of Colorado Boulder'],Introduction to Generative AI
['DeepLearning.AI'],Apply Generative Adversarial Networks (GANs)
['University of Colorado System'],Researcher Management and Leadership Training
['University of Michigan'],Applied Machine Learning in Python
['Imperial College London'],Introduction to Statistics & Data Analysis in Public Health
['Johns Hopkins University'],Python for Genomic Data Science
['University of Pennsylvania'],A Crash Course in Causality:  Inferring Causal Effects from Observational Data
['University of Illinois at Urbana-Champaign'],Hands-on Internet of Things Specialization
['King Abdullah University of Science and Technology'],Fundamental Skills in Bioinformatics
['Eindhoven University of Technology'],Microwave engineering and antennas
['Microsoft'],Create Machine Learning Models in Microsoft Azure
"['University of California, Irvine']",Getting Started with Go
['Johns Hopkins University'],Mastering Software Development in R Specialization
['University of Illinois at Urbana-Champaign'],Deep Learning for Healthcare Specialization
"['University at Buffalo', 'The State University of New York']",Blockchain Basics
['PwC'],Data Visualization with Advanced Excel
['Autodesk'],Introduction to Mechanical Engineering Design and Manufacturing with Fusion 360
['Splunk Inc.'],Splunk Search Expert Specialization
['University of Toronto'],Introduction to GIS Mapping
['University of Michigan'],"Python Functions, Files, and Dictionaries"
['University of Western Australia'],Blood Film Morphology - A Practical Guide
['Johns Hopkins University'],The Social and Technical Context of Health Informatics
['University of Amsterdam'],Basic Statistics
['University of Colorado Boulder'],Linux System Programming and Introduction to Buildroot
['IIMA - IIM Ahmedabad'],Advanced Digital Transformation (Part 1)
"['University of Alberta', 'Alberta Machine Intelligence Institute']",Prediction and Control with Function Approximation
"['New York Institute of Finance', 'Google Cloud']",Using Machine Learning in Trading and Finance
['Johns Hopkins University'],Essential Epidemiologic Tools for Public Health Practice
['University of Michigan'],Understanding and Visualizing Data with Python
"['University of London', 'Goldsmiths, University of London']",Responsive Website Development and Design Specialization
['University of Colorado Boulder'],Embedded Interface Design Specialization
['Google Cloud'],Analyzing and Visualizing Data in Looker
['University of Alberta'],Software Processes and Agile Practices
['University of Colorado System'],Introduction to C# Programming and Unity
['University of Colorado Boulder'],Hardware Description Languages for FPGA Design
['Meta'],Introduction to iOS Mobile Application Development
['Codio'],Getting Started with Generative AI API Specialization
['Imperial College London'],Mathematics for Machine Learning: PCA
['Meta'],Introduction to Android Mobile Application Development
['ConsenSys Academy'],Blockchain: Foundations and Use Cases
['Whizlabs'],Exam Prep CKA: Certified Kubernetes Administrator
['Eindhoven University of Technology'],Process Mining: Data science in Action
['Atlassian'],Version Control with Git
['University of Michigan'],"Foundations of Sports Analytics: Data, Representation, and Models in Sports"
['Meta'],Django Web Framework
['Fractal Analytics'],GenAI for Everyone
['University of Virginia'],Hypothesis-Driven Development
['Edge Impulse'],Computer Vision with Embedded Machine Learning
['New York University'],Introduction to Cyber Attacks
['University of Amsterdam'],Qualitative Research Methods
['Johns Hopkins University'],Introduction to DevSecOps
['University of Michigan'],Total Data Quality Specialization
"['University of California, Irvine']",Introduction to Cybersecurity & Risk Management Specialization
['Arizona State University'],Experimental Design Basics
['Duke University'],Human Factors in AI
['Codio'],Programming in Python: A Hands-on Introduction Specialization
['Siemens'],Introduction to Digital Transformation
['O.P. Jindal Global University'],Introduction to Academic Writing
['University of Florida'],Science of Training Young Athletes Part 2
['Macquarie University'],Data Visualization in Excel
['Stanford University'],"Graph Search, Shortest Paths, and Data Structures"
['Codio'],Software Engineering Tools and Practices Specialization
['Autodesk'],"Introduction to CAD, CAM, and Practical CNC Machining"
['DeepLearning.AI'],AI For Medical Treatment
['University of Michigan'],Introduction to User Experience Principles and Processes
['University of Washington'],Social Media Data Analytics
['Codio'],DevOps: Introduction to Developer Operations Specialization
['Johns Hopkins University'],Powering your Home Projects with Raspberry Pi Specialization
['University of Toronto'],State Estimation and Localization for Self-Driving Cars
['Autodesk'],Intro to Digital Manufacturing with Autodesk Fusion 360
['Board Infinity '],Fundamentals of Java Programming
['University of Colorado Boulder'],Introduction to High-Performance and Parallel Computing
['SAS'],Statistics with SAS
"['University of Alberta', 'Alberta Machine Intelligence Institute']",A Complete Reinforcement Learning System (Capstone)
['University of Minnesota'],Recommender Systems Specialization
['University of Alberta'],Client Needs and Software Requirements
['LearnQuest'],Scrum Master Certification: Scrum Methodologies
['Erasmus University Rotterdam'],Qualitative Comparative Analysis (QCA)
['Karlsruhe Institute of Technology'],Machine Translation
['Duke University'],Rust Fundamentals
['University of Colorado System'],Computer Security and Systems Management Specialization
['LearnQuest'],Swift 5 iOS Application Developer Specialization
['University of Virginia'],Design Thinking for the Greater Good: Innovation in the Social Sector
['Arm'],Arm Cortex-M Architecture and Software Development Specialization
['IBM'],Full Stack Cloud Development Capstone Project
['University of Michigan'],Database Design and Basic SQL in PostgreSQL
['The University of Edinburgh'],Philosophy and the Sciences: Introduction to the Philosophy of Cognitive Sciences
['IBM'],Designing User Interfaces and Experiences (UI/UX)
['Georgia Institute of Technology'],Machine Design Part I
['IBM'],Practice Exams for CompTIA A+ Certification: Core 1 & Core 2
['DeepLearning.AI'],Generative Deep Learning with TensorFlow
['Yale University'],Tropical Forest Landscapes 101: Conservation & Restoration
['University of Colorado Boulder'],Expressway to Data Science: R Programming and Tidyverse Specialization
['IBM'],Data Analysis with R
['The University of Edinburgh'],"Philosophy, Science and Religion: Philosophy and Religion"
['IBM'],Statistics for Data Science with Python
['Coursera Project Network'],NLP: Twitter Sentiment Analysis
['University of California San Diego'],Finding Hidden Messages in DNA (Bioinformatics I)
"['University of California, Irvine']","Functions, Methods, and Interfaces in Go"
['Meta'],Introduction to Data Analytics
['Board Infinity '],Building React and ASP.NET MVC 5 Applications Specialization
['Google Cloud'],Managing Google Workspace
['University of Colorado Boulder'],"Algorithms for Searching, Sorting, and Indexing"
['Board Infinity '],Learning MEAN Stack by Building Real world Application Specialization
['LearnQuest'],Linux Fundamentals
"['University of London', 'Goldsmiths, University of London']",Introduction to Computer Programming
['Meta'],React Native
['The Hong Kong University of Science and Technology'],Matrix Algebra for Engineers
['Board Infinity '],"Build Website with HTML, JavaScript, AngularJS, and React Specialization"
['University of Colorado System'],Introduction to Applied Cryptography Specialization
['Codio'],Data Science and Analysis Tools - from Jupyter to R Markdown Specialization
['Codio'],Web Technologies and Security Specialization
['Vanderbilt University'],"Introduction to Data, Signal, and Image Analysis with MATLAB"
['Universiteit Leiden'],Population Health: Predictive Analytics
['LearnQuest'],Fundamentals of Kubernetes Deployment
['Columbia University'],Camera and Imaging
['University of California San Diego'],Algorithms on Graphs
['University of Colorado Boulder'],Statistical Inference and Hypothesis Testing in Data Science Applications
['Meta'],Introduction to Mobile Development
['University of Washington'],Machine Learning Foundations: A Case Study Approach
['Coursera Project Network'],Docker for absolute beginners
"['University of California, Irvine']",Introduction to the Internet of Things and Embedded Systems
['IBM'],Applied AI with DeepLearning
['University of Alberta'],Agile Planning for Software Products
['Vanderbilt University'],Mastering Programming with MATLAB
['EC-Council'],Digital Forensics Essentials (DFE)
['Meta'],Introduction to Databases for Back-End Development
['DeepLearning.AI'],AI and Disaster Management
['Amazon Web Services'],"DevOps on AWS: Code, Build, and Test"
['University of Toronto'],Visual Perception for Self-Driving Cars
['Northwestern University'],Fundamentals of Digital Image and Video Processing
['University of Michigan'],Model Thinking
"['University of California, Santa Cruz']",Bayesian Statistics: Techniques and Models
['The State University of New York'],How To Create a Website in a Weekend! (Project-Centered Course)
['University of Colorado Boulder'],Real-Time Embedded Systems Concepts and Practices
['IBM'],Developing Cloud Apps with Node.js and React
"['University of California, Irvine']",Database Design and Operational Business Intelligence Specialization
['Coursera Project Network'],Smart Contracts with Solidity: Create an Ethereum contract
['Microsoft'],Artificial Intelligence on Microsoft Azure
['University of Colorado Boulder'],Applications of Software Architecture for Big Data
['Johns Hopkins University'],Getting and Cleaning Data
['University of Pennsylvania'],Microeconomics: When Markets Fail
['Johns Hopkins University'],Introduction to Concurrent Programming with GPUs
['University of Colorado System'],Requirements Engineering: Secure Software  Specifications Specialization
['Infosec'],Introduction to Cybersecurity Foundations
['Infosec'],Blockchain Security
['University of Glasgow '],Biomedical Visualisation
